iter	Passed	Remaining
0	143	143476
1	145	72360
2	146	48642
3	147	36752
4	148	29627
5	150	24884
6	151	21481
7	152	18965
8	154	16974
9	155	15378
10	156	14088
11	157	13004
12	159	12085
13	160	11295
14	161	10618
15	162	10022
16	164	9491
17	165	9019
18	166	8597
19	167	8223
20	168	7877
21	170	7586
22	172	7308
23	173	7046
24	174	6805
25	175	6585
26	177	6383
27	178	6189
28	179	6008
29	180	5840
30	182	5693
31	183	5548
32	184	5416
33	186	5289
34	187	5166
35	188	5054
36	190	4945
37	191	4844
38	192	4747
39	194	4656
40	195	4567
41	196	4490
42	198	4413
43	199	4341
44	201	4268
45	202	4198
46	203	4130
47	205	4066
48	206	4003
49	207	3941
50	208	3883
51	210	3831
52	211	3783
53	213	3733
54	214	3683
55	215	3637
56	217	3590
57	218	3542
58	219	3497
59	220	3453
60	221	3410
61	222	3370
62	224	3332
63	225	3294
64	226	3259
65	228	3228
66	229	3193
67	230	3153
68	231	3123
69	233	3095
70	234	3067
71	235	3038
72	237	3009
73	238	2980
74	239	2952
75	240	2923
76	241	2896
77	242	2872
78	244	2846
79	245	2821
80	246	2797
81	247	2772
82	248	2749
83	249	2725
84	250	2699
85	251	2677
86	252	2652
87	253	2631
88	255	2610
89	256	2593
90	257	2575
91	258	2556
92	260	2537
93	261	2519
94	262	2501
95	263	2484
96	265	2467
97	266	2450
98	267	2433
99	268	2416
100	269	2401
101	270	2382
102	272	2369
103	273	2355
104	274	2342
105	276	2328
106	277	2313
107	278	2300
108	279	2286
109	280	2273
110	282	2260
111	283	2247
112	284	2235
113	285	2222
114	287	2212
115	288	2197
116	289	2185
117	290	2173
118	291	2159
119	292	2147
120	293	2135
121	295	2123
122	295	2108
123	296	2097
124	297	2085
125	299	2076
126	300	2066
127	301	2054
128	302	2043
129	303	2032
130	304	2022
131	305	2011
132	307	2001
133	308	1990
134	309	1980
135	310	1970
136	311	1961
137	312	1950
138	313	1942
139	314	1934
140	316	1927
141	317	1918
142	318	1910
143	320	1902
144	321	1895
145	322	1886
146	323	1878
147	324	1869
148	325	1861
