iter	Passed	Remaining
0	145	145429
1	146	73329
2	148	49241
3	149	37216
4	150	29967
5	151	25134
6	153	21723
7	154	19161
8	155	17170
9	157	15561
10	158	14236
11	159	13142
12	160	12200
13	161	11390
14	162	10688
15	163	10074
16	164	9534
17	165	9055
18	167	8642
19	168	8259
20	169	7924
21	171	7608
22	172	7317
23	173	7055
24	174	6808
25	175	6578
26	176	6365
27	177	6167
28	178	5984
29	179	5812
30	180	5655
31	182	5513
32	183	5380
33	184	5252
34	186	5128
35	187	5009
36	188	4896
37	189	4789
38	190	4693
39	191	4597
40	192	4505
41	193	4417
42	194	4333
43	196	4260
44	197	4190
45	198	4122
46	199	4052
47	201	3988
48	202	3925
49	203	3865
50	204	3807
51	205	3750
52	206	3693
53	207	3640
54	208	3589
55	210	3544
56	211	3504
57	213	3460
58	214	3417
59	215	3374
60	216	3332
61	217	3292
62	218	3253
63	219	3214
64	220	3176
65	221	3140
66	222	3104
67	224	3073
68	225	3044
69	226	3012
70	228	2983
71	229	2953
72	230	2925
73	231	2896
74	232	2868
75	233	2841
76	234	2814
77	235	2787
78	236	2760
79	238	2737
80	239	2717
81	241	2704
82	242	2677
83	243	2656
84	244	2635
85	246	2615
86	247	2594
87	248	2575
88	249	2555
89	250	2535
90	252	2519
91	253	2499
92	254	2486
93	256	2469
94	257	2451
95	258	2434
96	259	2416
97	260	2398
98	261	2381
99	262	2366
100	264	2350
101	265	2334
102	266	2320
103	267	2305
104	269	2293
105	270	2284
106	272	2270
107	273	2256
108	274	2242
109	275	2228
110	276	2214
111	277	2203
112	279	2190
113	280	2177
114	281	2164
115	282	2153
116	284	2143
117	285	2132
118	286	2122
119	287	2110
120	288	2098
121	289	2085
122	290	2074
123	292	2063
124	293	2052
125	294	2041
126	295	2030
127	296	2021
128	297	2010
129	299	2003
130	300	1994
131	301	1984
132	303	1975
133	304	1966
134	305	1956
135	306	1947
136	307	1937
137	309	1930
138	310	1921
139	311	1911
140	312	1902
141	313	1891
142	315	1887
143	316	1880
144	317	1872
145	318	1863
146	319	1855
147	320	1846
148	321	1838
149	323	1831
150	324	1823
151	325	1815
